,vbus,ipva,iloa,vbus1,ipva1,iloa1,vbus2,ipva2,iloa2
02/09/2021 12:59,4437,37,27,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,34,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,27,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,27,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,34,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,34,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,34,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65525,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,27,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,27,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,31,4840,3453,65525,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,27,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,27,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,37,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,31,4840,3453,65528,4847,3452,65467
02/09/2021 12:59,4840,34,34,4840,3453,65528,4847,3452,65467
